registro,nome_imagem,arquivo_png,hotspots,frames_colunas,frames_linhas,tem_paleta,tem_mascara_colisao,transform_flag
31,interface005,31_interface005.png,"[14, 90, 65, 10, 49, 70, 35, 10, 0, 0, 52, 26, 39, 26, 9, 10, 0, 36, 24, 38, 52, 0, 15, 38, 0, 74, 16, 15, 24, 36, 25, 40, 67, 0, 13, 40, 0, 89, 14, 16, 16, 80, 65, 10, 49, 40, 35, 10, 49, 50, 35, 10, 49, 60, 35, 10, 0, 26, 35, 10, 16, 80, 32, 10]",10,10,False,False,0
32,interface004,32_interface004.png,"[69, 150, 16, 13, 45, 135, 24, 29, 160, 144, 17, 9, 167, 12, 22, 18, 167, 0, 16, 12, 41, 0, 42, 30, 0, 0, 41, 29, 136, 139, 10, 12, 104, 139, 15, 15, 86, 135, 18, 17, 69, 135, 17, 15, 119, 139, 17, 11, 83, 0, 43, 32, 126, 0, 41, 32, 33, 30, 27, 32, 60, 32, 30, 26, 90, 32, 30, 29, 120, 32, 33, 37, 0, 29, 33, 29, 153, 32, 33, 34, 134, 101, 31, 38, 126, 69, 34, 31, 160, 66, 36, 35, 0, 58, 26, 32, 26, 62, 29, 26, 60, 58, 29, 30, 165, 101, 31, 43, 0, 130, 45, 33, 34, 88, 34, 41, 0, 90, 34, 40, 104, 100, 30, 37, 89, 69, 33, 30, 68, 99, 33, 34, 146, 139, 14, 19, 177, 144, 11, 10]",10,10,False,False,0
33,interface303,33_interface303.png,"[73, 80, 21, 10, 94, 80, 21, 10, 115, 133, 21, 10, 115, 143, 23, 10, 115, 153, 23, 10, 0, 227, 32, 10, 0, 177, 23, 10, 85, 227, 21, 10, 117, 110, 14, 13, 0, 110, 54, 57, 69, 110, 25, 57, 54, 110, 15, 57, 94, 160, 21, 10, 23, 177, 23, 10, 131, 227, 5, 8, 88, 167, 3, 8, 116, 227, 5, 8, 73, 167, 5, 8, 78, 167, 5, 8, 83, 167, 5, 8, 106, 227, 5, 8, 126, 227, 5, 8, 121, 227, 5, 8, 111, 227, 5, 8, 32, 70, 43, 10, 72, 90, 21, 10, 94, 130, 21, 10, 84, 100, 21, 10, 0, 60, 127, 10, 0, 187, 109, 10, 80, 207, 51, 10, 46, 177, 95, 10, 0, 70, 32, 10, 93, 90, 32, 10, 94, 150, 21, 10, 75, 70, 54, 10, 0, 50, 109, 10, 0, 207, 40, 10, 42, 217, 21, 10, 105, 217, 31, 10, 115, 80, 10, 10, 0, 0, 131, 10, 0, 90, 72, 10, 105, 100, 21, 10, 0, 30, 109, 10, 40, 207, 40, 10, 84, 217, 21, 10, 32, 227, 21, 10, 94, 140, 21, 10, 94, 120, 21, 10, 115, 123, 21, 10, 0, 80, 73, 10, 0, 40, 108, 10, 0, 167, 73, 10, 63, 217, 21, 10, 53, 227, 32, 10, 0, 10, 127, 10, 0, 20, 109, 10, 0, 100, 84, 10, 115, 163, 21, 10, 94, 110, 23, 10, 0, 217, 21, 10, 21, 217, 21, 10, 0, 197, 128, 10, 0, 100, 10, 10, 96, 227, 10, 10, 75, 227, 10, 10, 0, 197, 110, 10, 111, 197, 17, 10, 110, 20, 21, 10, 110, 187, 21, 10, 110, 40, 21, 10, 70, 63, 2, 4, 110, 30, 21, 10, 111, 50, 20, 10]",10,10,True,False,0
34,interface200,34_interface200.png,"[95, 20, 22, 10, 48, 10, 24, 12, 72, 10, 22, 10, 24, 10, 24, 12, 45, 53, 23, 11, 79, 52, 22, 10, 0, 10, 24, 12, 0, 97, 74, 15, 33, 64, 74, 15, 0, 112, 74, 16, 0, 78, 33, 16, 0, 63, 33, 15, 94, 10, 26, 10, 49, 42, 60, 10, 77, 79, 31, 18, 47, 22, 48, 10, 0, 33, 22, 10, 0, 43, 48, 10, 74, 97, 30, 16, 70, 32, 48, 10, 68, 52, 11, 12, 0, 22, 22, 11, 33, 79, 44, 18, 0, 53, 45, 10, 22, 32, 48, 10, 22, 22, 25, 10, 0, 72, 33, 4, 77, 116, 10, 11, 88, 117, 10, 8, 99, 116, 10, 10, 12, 53, 33, 10, 0, 53, 10, 10, 0, 0, 22, 10, 22, 0, 22, 10, 44, 0, 37, 10, 104, 105, 10, 11, 110, 116, 10, 10, 22, 32, 22, 10, 102, 52, 10, 10]",10,10,False,False,0
43,interface006,43_interface006.png,"[0, 0, 28, 12, 0, 12, 28, 12, 0, 24, 24, 11, 0, 36, 32, 16, 0, 52, 32, 16]",10,10,False,False,0
45,interface007,45_interface007.png,"[0, 0, 57, 10, 65, 20, 35, 10, 65, 30, 21, 10, 0, 10, 65, 10, 86, 30, 10, 10, 57, 0, 10, 10, 65, 10, 32, 10, 0, 20, 65, 10, 0, 30, 65, 22, 67, 0, 24, 10, 0, 0, 33, 10, 0, 10, 32, 10, 0, 20, 32, 10, 22, 30, 10, 10, 0, 30, 21, 10, 76, 30, 10, 10, 32, 30, 10, 10, 22, 30, 43, 10, 0, 42, 10, 10, 0, 42, 58, 10, 22, 30, 32, 10, 55, 30, 10, 10, 0, 42, 10, 10, 11, 42, 46, 10, 0, 52, 65, 10, 65, 52, 35, 10, 0, 62, 65, 10, 66, 62, 13, 10, 0, 72, 65, 10, 66, 72, 32, 10, 65, 41, 35, 10, 0, 82, 65, 10, 0, 82, 10, 10, 0, 82, 32, 10, 0, 72, 32, 10, 0, 62, 32, 10, 66, 82, 24, 10]",10,10,False,False,0
46,animal40,46_animal40.png,"[0, 0, 29, 16, 29, 0, 8, 5, 29, 5, 9, 5]",10,10,False,False,0
51,animal01,51_animal01.png,"[0, 0, 16, 10, 16, 0, 12, 6]",10,10,False,False,0
52,animal11,52_animal11.png,"[0, 0, 30, 15, 30, 0, 17, 6]",10,10,False,False,0
54,animal31,54_animal31.png,"[0, 23, 10, 8, 0, 0, 16, 23]",10,10,False,False,0
57,animal43,57_animal43.png,"[0, 0, 28, 25, 0, 25, 27, 25, 0, 50, 27, 24, 0, 74, 27, 24]",10,10,False,False,0
58,animal00,58_animal00.png,"[0, 0, 39, 26, 0, 26, 38, 27, 0, 53, 39, 26, 0, 79, 38, 27]",10,10,False,False,0
59,animal41,59_animal41.png,"[0, 0, 20, 13, 0, 13, 21, 13, 0, 26, 20, 13, 0, 39, 20, 13]",10,10,False,False,0
60,animal42,60_animal42.png,"[0, 0, 23, 20, 70, 0, 22, 21, 92, 0, 22, 19, 47, 0, 23, 21, 114, 0, 23, 21, 23, 0, 24, 22, 137, 0, 9, 5]",10,10,False,False,0
61,animal30,61_animal30.png,"[0, 0, 25, 24, 25, 17, 18, 18, 12, 31, 12, 11, 12, 24, 13, 7, 24, 35, 5, 10, 0, 24, 12, 10, 0, 34, 12, 12, 25, 0, 17, 17, 29, 35, 13, 8, 28, 23, 9, 5, 15, 30, 9, 5]",10,10,False,False,0
64,animal20,64_animal20.png,"[57, 0, 7, 18, 55, 30, 9, 15, 53, 18, 14, 12, 32, 24, 21, 18, 39, 42, 16, 18, 0, 0, 46, 10, 32, 10, 17, 14, 0, 10, 32, 32, 49, 0, 8, 16, 32, 42, 7, 18, 24, 42, 8, 19, 0, 42, 24, 19]",10,10,False,False,0
65,animal10,65_animal10.png,"[0, 4, 17, 6, 0, 0, 19, 4, 20, 14, 10, 7, 20, 7, 10, 7, 19, 0, 11, 7, 0, 10, 20, 18]",10,10,False,False,0
66,animal21,66_animal21.png,"[0, 0, 14, 7, 0, 7, 16, 20]",10,10,False,False,0
67,interface400,67_interface400.png,"[23, 42, 24, 23, 0, 42, 20, 20, 50, 0, 43, 10, 0, 0, 50, 22, 48, 35, 22, 28, 74, 32, 19, 25, 0, 22, 43, 10, 50, 10, 24, 25, 74, 10, 21, 22, 0, 32, 43, 10, 22, 65, 18, 21, 0, 65, 22, 25, 40, 65, 43, 10]",10,10,False,False,0
68,teach000,68_teach000.png,"[0, 0, 6, 9, 7, 0, 7, 9, 14, 0, 7, 9, 21, 0, 7, 9, 28, 0, 7, 9, 35, 0, 33, 9, 0, 183, 37, 35, 249, 110, 24, 36, 242, 76, 24, 34, 126, 0, 122, 29, 68, 0, 11, 11, 79, 0, 12, 12, 91, 0, 11, 11, 102, 0, 12, 11, 114, 0, 12, 11, 249, 146, 26, 34, 72, 183, 35, 33, 37, 183, 35, 34, 242, 38, 25, 38, 248, 0, 27, 38, 0, 12, 121, 57, 0, 69, 121, 57, 121, 71, 121, 57, 0, 126, 121, 57, 121, 29, 121, 42, 121, 128, 128, 32, 121, 160, 128, 32, 107, 192, 128, 32, 249, 180, 10, 9]",10,10,False,False,0
